Datetime,Actual LSTM,Predicted LSTM,Actual Transformer,Predicted Transformer
2024-04-01 20:00:00+00:00,43.0,43.010693,43.0,42.65965
2024-04-01 21:00:00+00:00,50.0,44.16071,50.0,45.163654
2024-04-01 22:00:00+00:00,57.0,48.473618,57.0,48.510387
2024-04-01 23:00:00+00:00,54.0,52.498203,54.0,53.07214
2024-04-02 00:00:00+00:00,60.0,49.83583,60.0,51.86668
2024-04-02 01:00:00+00:00,44.0,55.196434,44.0,57.79747
2024-04-02 02:00:00+00:00,52.0,44.111,52.0,45.32783
2024-04-02 03:00:00+00:00,56.0,51.02424,56.0,54.290573
2024-04-02 04:00:00+00:00,19.0,53.51235,19.0,57.071167
2024-04-02 05:00:00+00:00,19.0,22.542824,19.0,20.40961
2024-04-02 06:00:00+00:00,18.000000000000004,20.198599,18.000000000000004,18.512146
2024-04-02 07:00:00+00:00,10.999999999999996,19.247044,10.999999999999996,16.853054
2024-04-02 08:00:00+00:00,15.0,14.695553,15.0,13.216608
2024-04-02 09:00:00+00:00,10.0,16.45827,10.0,13.632904
2024-04-02 10:00:00+00:00,10.0,14.193827,10.0,11.039261
2024-04-02 11:00:00+00:00,24.0,14.66223,24.0,10.832165
2024-04-02 12:00:00+00:00,25.0,21.282621,25.0,18.239054
2024-04-02 13:00:00+00:00,27.0,23.76577,27.0,20.150215
2024-04-02 14:00:00+00:00,24.0,28.524202,24.0,26.118065
2024-04-02 15:00:00+00:00,30.0,29.97083,30.0,28.630466
2024-04-02 16:00:00+00:00,51.0,34.75581,51.0,31.750467
2024-04-02 17:00:00+00:00,47.0,49.29001,47.0,48.792023
2024-04-02 18:00:00+00:00,57.0,48.3912,57.0,48.641766
2024-04-02 19:00:00+00:00,56.0,55.95489,56.0,57.049873
2024-04-02 20:00:00+00:00,46.0,54.196552,46.0,57.45245
2024-04-02 21:00:00+00:00,53.0,45.031822,53.0,48.627506
2024-04-02 22:00:00+00:00,49.0,50.893463,49.0,54.669548
2024-04-02 23:00:00+00:00,38.0,48.698593,38.0,52.635914
2024-04-03 00:00:00+00:00,16.0,40.5286,16.0,44.235023
2024-04-03 01:00:00+00:00,26.0,20.529856,26.0,28.256405
2024-04-03 02:00:00+00:00,26.0,28.0053,26.0,29.958569
2024-04-03 03:00:00+00:00,60.0,27.66363,60.0,26.661667
2024-04-03 04:00:00+00:00,43.0,52.11117,43.0,53.1405
2024-04-03 05:00:00+00:00,26.0,37.90632,26.0,38.805237
2024-04-03 06:00:00+00:00,24.0,22.967937,24.0,21.203419
2024-04-03 07:00:00+00:00,15.8,22.536924,15.8,20.029112
