Datetime,Actual Linear Regression,Predicted Linear Regression,Actual Random Forest,Predicted Random Forest,Actual XGBoost,Predicted XGBoost
2024-04-02 06:00:00+00:00,29.0,25.64271586181667,29.0,42.89621009506689,29.0,43.391468
2024-04-02 07:00:00+00:00,35.0,23.588424662156626,35.0,40.945674975806725,35.0,37.92311
2024-04-02 08:00:00+00:00,48.0,22.492969832939252,48.0,44.40672522823672,48.0,38.61987
2024-04-02 09:00:00+00:00,24.0,15.429439902553554,24.0,21.300956853748133,24.0,23.92185
2024-04-02 10:00:00+00:00,24.0,21.10226232898799,24.0,21.040712889884933,24.0,22.42841
2024-04-02 11:00:00+00:00,21.0,16.701896746416537,21.0,19.967878448163415,21.0,22.099876
2024-04-02 12:00:00+00:00,12.0,10.732677861997672,12.0,18.569822451163493,12.0,19.226913
2024-04-02 13:00:00+00:00,38.0,22.179112139446374,38.0,45.11800611517902,38.0,29.976881
2024-04-02 14:00:00+00:00,16.0,19.27221831013628,16.0,21.441553505181506,16.0,20.361893
2024-04-02 15:00:00+00:00,16.0,26.066446033424427,16.0,31.562841184029455,16.0,32.81452
2024-04-02 16:00:00+00:00,29.0,31.879362235220242,29.0,31.03490693999252,29.0,36.485153
2024-04-02 17:00:00+00:00,34.0,31.3514709098057,34.0,35.60395102214857,34.0,36.05996
2024-04-02 18:00:00+00:00,48.0,28.66048091360176,48.0,34.58431902802753,48.0,36.812904
2024-04-02 19:00:00+00:00,43.0,30.963965676786643,43.0,46.62317359195507,43.0,45.5336
2024-04-02 20:00:00+00:00,43.0,32.982004055508924,43.0,47.16004027376183,43.0,41.652306
2024-04-02 21:00:00+00:00,50.0,30.010050128802277,50.0,36.99048477258508,50.0,41.210552
2024-04-02 22:00:00+00:00,57.0,27.297036350098665,57.0,44.73130027067313,57.0,51.163612
2024-04-02 23:00:00+00:00,54.0,28.134538202071667,54.0,46.1267396384472,54.0,52.09038
2024-04-03 00:00:00+00:00,60.0,22.7000860391978,60.0,35.819693666113594,60.0,41.42658
2024-04-03 01:00:00+00:00,44.0,24.364242661498224,44.0,33.519382790932674,44.0,45.917812
2024-04-03 02:00:00+00:00,52.0,28.019142267254438,52.0,46.11179322864155,52.0,45.29271
2024-04-03 03:00:00+00:00,56.0,29.14627616049131,56.0,46.67239318673111,56.0,45.386482
2024-04-03 04:00:00+00:00,19.0,23.43994163128673,19.0,28.174518529944805,19.0,32.394897
2024-04-03 05:00:00+00:00,19.0,17.57333801099196,19.0,28.626886270337568,19.0,30.031301
2024-04-03 06:00:00+00:00,18.0,17.387190361828516,18.0,28.210996333187296,18.0,30.691212
2024-04-03 07:00:00+00:00,10.999999999999996,13.868535213331825,10.999999999999996,19.249760046618135,10.999999999999996,24.62557
2024-04-03 08:00:00+00:00,15.0,10.672672900716975,15.0,16.072904654678556,15.0,21.140766
2024-04-03 09:00:00+00:00,10.0,8.368929396319004,10.0,15.946744770123438,10.0,17.246618
2024-04-03 10:00:00+00:00,10.0,7.868022569446907,10.0,15.810469448920772,10.0,16.765387
2024-04-03 11:00:00+00:00,24.0,7.36171847185085,24.0,16.194335266562888,24.0,16.560652
2024-04-03 12:00:00+00:00,25.0,10.839412703949279,25.0,19.449073891741165,25.0,20.451849
2024-04-03 13:00:00+00:00,27.0,10.375795718469249,27.0,18.244004329493464,27.0,18.36546
2024-04-03 14:00:00+00:00,24.0,17.952925574433493,24.0,25.20370427951371,24.0,20.3497
2024-04-03 15:00:00+00:00,30.0,24.939578117962583,30.0,27.83454379564551,30.0,25.635357
2024-04-03 16:00:00+00:00,51.0,27.506031272663904,51.0,25.587644117224,51.0,21.509634
2024-04-03 17:00:00+00:00,47.0,33.40865223639628,47.0,43.06584967988127,47.0,42.710728
2024-04-03 18:00:00+00:00,57.0,34.21243022857573,57.0,43.8243583519697,57.0,46.881943
2024-04-03 19:00:00+00:00,56.0,34.283348839135215,56.0,44.72636802310804,56.0,46.98963
2024-04-03 20:00:00+00:00,46.0,33.506706067517484,46.0,45.33100391567811,46.0,48.592285
2024-04-03 21:00:00+00:00,53.0,34.09984764065564,53.0,49.28938359212219,53.0,47.564533
2024-04-03 22:00:00+00:00,49.0,34.1629392113083,49.0,52.88109341594232,49.0,48.85914
2024-04-03 23:00:00+00:00,38.0,35.45586480137729,38.0,54.54606277395041,38.0,47.400166
2024-04-04 00:00:00+00:00,16.0,53.802264568184114,16.0,35.301972002026176,16.0,30.492643
2024-04-04 01:00:00+00:00,26.0,58.094114600423836,26.0,42.25940663982116,26.0,32.79243
2024-04-04 02:00:00+00:00,26.0,56.06562982253581,26.0,40.52755452222309,26.0,32.13725
2024-04-04 03:00:00+00:00,60.0,56.573764733855455,60.0,39.74151402626285,60.0,32.630722
2024-04-04 04:00:00+00:00,43.0,55.35659289191301,43.0,39.534810353277685,43.0,31.756145
2024-04-04 05:00:00+00:00,26.0,40.43119538529754,26.0,25.082038723707267,26.0,23.10084
2024-04-04 06:00:00+00:00,24.0,39.483407659611544,24.0,22.859860577918127,24.0,21.86251
2024-04-04 07:00:00+00:00,15.8,50.7048384541132,15.8,31.233281834446643,15.8,21.464312
2024-04-04 08:00:00+00:00,16.0,38.62769944467095,16.0,22.36788349682352,16.0,19.826351
2024-04-04 09:00:00+00:00,10.999999999999996,41.147003197263075,10.999999999999996,22.07977746372229,10.999999999999996,18.903008
2024-04-04 10:00:00+00:00,9.0,43.17519185076287,9.0,22.56856150640794,9.0,18.361412
2024-04-04 11:00:00+00:00,5.0,43.81348178606925,5.0,22.856786233183836,5.0,18.70246
2024-04-04 12:00:00+00:00,7.0,43.07549330047436,7.0,22.88927902198942,7.0,19.793827
2024-04-04 13:00:00+00:00,47.2,50.05748478269618,47.2,35.95170515346743,47.2,32.90027
2024-04-04 14:00:00+00:00,16.0,46.73629584191008,16.0,23.00690511956286,16.0,23.086933
2024-04-04 15:00:00+00:00,56.0,53.159546161103776,56.0,28.98397647700301,56.0,27.086697
2024-04-04 16:00:00+00:00,19.0,55.89959610260996,19.0,26.087634203495085,19.0,25.972488
2024-04-04 17:00:00+00:00,19.0,54.383862837295624,19.0,25.18463714046531,19.0,28.243687
2024-04-04 18:00:00+00:00,38.0,56.77885244283482,38.0,35.18297015962935,38.0,32.977676
2024-04-04 19:00:00+00:00,52.0,57.378182011880426,52.0,43.70192184359247,52.0,46.457703
2024-04-04 20:00:00+00:00,46.0,57.524403395196714,46.0,46.77447485223767,46.0,46.230705
2024-04-04 21:00:00+00:00,42.0,57.23481367257932,42.0,43.55216189576521,42.0,40.40641
2024-04-04 22:00:00+00:00,78.0,58.467806499643075,78.0,54.937938813557395,78.0,45.69033
2024-04-04 23:00:00+00:00,62.0,58.27909405328057,62.0,57.02800217144673,62.0,44.74979
2024-04-05 00:00:00+00:00,68.0,37.883785656488726,68.0,54.670803386895074,68.0,47.70387
2024-04-05 01:00:00+00:00,54.0,42.85274988707681,54.0,52.34887265911417,54.0,41.349842
2024-04-05 02:00:00+00:00,70.0,43.12944058868936,70.0,47.79274867635737,70.0,40.28076
2024-04-05 03:00:00+00:00,34.0,39.00432318271203,34.0,35.09342756637852,34.0,33.418537
2024-04-05 04:00:00+00:00,15.0,35.60797054873183,15.0,34.50035719068018,15.0,32.856045
2024-04-05 05:00:00+00:00,25.0,30.123121729629474,25.0,30.036745320489707,25.0,34.910355
2024-04-05 06:00:00+00:00,26.0,30.540474768482227,26.0,31.000515384406945,26.0,34.970978
2024-04-05 07:00:00+00:00,21.0,28.495655035905997,21.0,32.826313327672274,21.0,33.536182
2024-04-05 08:00:00+00:00,20.0,25.36307969324048,20.0,30.620962001120866,20.0,30.654507
2024-04-05 09:00:00+00:00,16.999999999999996,27.372749175932313,16.999999999999996,27.75958892164559,16.999999999999996,27.152617
2024-04-05 10:00:00+00:00,7.0,33.777297738698735,7.0,27.68898824483087,7.0,27.102991
2024-04-05 11:00:00+00:00,13.999999999999996,26.80213851860549,13.999999999999996,25.89412660880458,13.999999999999996,28.081806
2024-04-05 12:00:00+00:00,15.0,29.88298405534806,15.0,26.768518811230262,15.0,27.434916
2024-04-05 13:00:00+00:00,12.0,27.803325250601006,12.0,29.12350120122233,12.0,29.478123
2024-04-05 14:00:00+00:00,18.0,34.59290738372022,18.0,29.972549426862443,18.0,33.090458
2024-04-05 15:00:00+00:00,26.0,39.302893169868184,26.0,40.57510556299691,26.0,38.635105
2024-04-05 16:00:00+00:00,31.0,35.05854859558224,31.0,39.068775515486124,31.0,33.580658
2024-04-05 17:00:00+00:00,18.0,20.950863867187536,18.0,24.818950287012086,18.0,28.540882
2024-04-05 18:00:00+00:00,15.0,13.287759802834103,15.0,23.893558742316785,15.0,24.903978
2024-04-05 19:00:00+00:00,10.999999999999996,11.716243647915576,10.999999999999996,24.01818406180708,10.999999999999996,26.874424
2024-04-05 20:00:00+00:00,12.0,13.837165094298825,12.0,23.493352185322923,12.0,20.855692
2024-04-05 21:00:00+00:00,9.0,15.431685778765427,9.0,23.52598956321149,9.0,20.290504
2024-04-05 22:00:00+00:00,5.0,19.940572846166333,5.0,25.51392839375088,5.0,27.005468
2024-04-05 23:00:00+00:00,7.0,23.15989009432394,7.0,24.58741243266813,7.0,24.477037
2024-04-06 00:00:00+00:00,8.0,20.401655573551352,8.0,20.694666082688833,8.0,21.649805
2024-04-06 01:00:00+00:00,4.0,15.907165608171567,4.0,23.608365770093744,4.0,23.523678
2024-04-06 02:00:00+00:00,13.0,17.91951626442858,13.0,23.16796334332645,13.0,22.587004
2024-04-06 03:00:00+00:00,7.0,17.749261278359313,7.0,22.681511586485367,7.0,33.653107
2024-04-06 04:00:00+00:00,4.0,17.050169249263604,4.0,22.289799600087047,4.0,30.12299
2024-04-06 05:00:00+00:00,8.0,14.242250006304403,8.0,22.645587000756198,8.0,27.44881
